set,icon,name,cost,health,armor,ad,attack_range,as,skill_icon,mana,traits
9.5,https://cdn.lolchess.gg/upload/images/champions/Aatrox_1693389039-tft9b_aatrox_square.tft_set9_stage2.png,Aatrox,5,900,70,80,https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png,0.8,https://cdn.lolchess.gg/upload/images/champion-skills/Aatrox_1684813735-aatrox_r.png,0/60,"['Darkin', 'Juggernaut', 'Slayer']"
9.5,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/champion/Ahri.png,Ahri,5,850,40,50,https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance304.png,0.85,https://cdn.lolchess.gg/upload/images/champion-skills/Ahri_1684799324-icons_ahri_r.png,0/50,"['Ionia', 'Sorcerer']"
9.5,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/champion/Aphelios.png,Aphelios,4,750,25,65,https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance304.png,0.75,https://cdn.lolchess.gg/upload/images/champion-skills/Aphelios_1684799455-apheliosr%20(1).png,50/100,"['Targon', 'Gunner']"
9.5,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/champion/Ashe.png,Ashe,2,600,20,55,https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance305.png,0.75,https://cdn.lolchess.gg/upload/images/champion-skills/Ashe_1684808818-ashe_w.png,20/70,"['Freljord', 'Vanquisher']"
9.5,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/champion/Azir.png,Azir,4,750,30,30,https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance304.png,0.8,https://cdn.lolchess.gg/upload/images/champion-skills/Azir_1684800081-azir_w.png,40/50,"['Shurima', 'Strategist']"
9.5,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/champion/Belveth.png,Bel'Veth,5,1100,60,80,https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance302.png,0.85,https://cdn.lolchess.gg/upload/images/champion-skills/Belveth_1684826486-belvethe.belveth.png,20/70,"['Void', 'Empress']"
9.5,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/champion/Cassiopeia.png,Cassiopeia,1,500,20,40,https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance304.png,0.7,https://cdn.lolchess.gg/upload/images/champion-skills/Cassiopeia_1684800365-cassiopeia_e.png,0/30,"['Noxus', 'Invoker', 'Shurima']"
9.5,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/champion/Chogath.png,Cho'Gath,1,700,30,65,https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png,0.5,https://cdn.lolchess.gg/upload/images/champion-skills/Chogath_1684800608-greenterror_feast.png,40/100,"['Void', 'Bruiser']"
9.5,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/champion/Darius.png,Darius,3,750,50,70,https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png,0.7,https://cdn.lolchess.gg/upload/images/champion-skills/Darius_1684800915-darius_icon_sudden_death.png,20/80,"['Noxus', 'Juggernaut', 'Vanquisher']"
9.5,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/champion/Ekko.png,Ekko,3,800,40,50,https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png,0.8,https://cdn.lolchess.gg/upload/images/champion-skills/Ekko_1684809487-ekko_e.png,0/45,"['Piltover', 'Rogue', 'Zaun']"
9.5,https://cdn.lolchess.gg/upload/images/champions/Fiora_1693389081-tft9_fiora_square.tft_set9_stage2.png,Fiora,4,950,45,75,https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png,0.9,https://cdn.lolchess.gg/upload/images/champion-skills/Fiora_1693030393-fiora_r.png,60/120,"['Demacia', 'Challenger']"
9.5,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/champion/Galio.png,Galio,2,800,45,70,https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png,0.5,https://cdn.lolchess.gg/upload/images/champion-skills/Galio_1684801108-galio_w.png,60/110,"['Demacia', 'Invoker']"
9.5,https://cdn.lolchess.gg/upload/images/champions/Gangplank_1693388518-tft9_gangplank_square.tft_set9_stage2.png,Gangplank,5,1000,80,80,https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png,0.85,https://cdn.lolchess.gg/upload/images/champion-skills/Gangplank_1693356088-3903_gangplankr3.png,90/180,"['Bilgewater', 'Gunner', 'Reaver King']"
9.5,https://cdn.lolchess.gg/upload/images/champions/Graves_1693388524-tft9_graves_square.tft_set9_stage2.png,Graves,1,700,40,55,https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png,0.65,https://cdn.lolchess.gg/upload/images/champion-skills/Graves_1693028534-gravessmokegrenade.png,30/80,"['Bilgewater', 'Gunner', 'Rogue']"
9.5,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/champion/Heimerdinger.png,Heimerdinger,5,750,30,40,https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance304.png,0.75,https://cdn.lolchess.gg/upload/images/champion-skills/Heimerdinger_1684809913-heimerdinger_e1.png,80/160,"['Piltover', 'Technogenius']"
9.5,https://cdn.lolchess.gg/upload/images/champions/Illaoi_1693389046-tft9_illaoi_square.tft_set9_stage2.png,Illaoi,1,700,40,60,https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png,0.55,https://cdn.lolchess.gg/upload/images/champion-skills/Illaoi_1693030994-illaoi_w.png,30/70,"['Bilgewater', 'Bastion']"
9.5,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/champion/Irelia.png,Irelia,1,700,40,50,https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png,0.65,https://cdn.lolchess.gg/upload/images/champion-skills/Irelia_1684810190-irelia_passive.png,40/80,"['Ionia', 'Challenger']"
9.5,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/champion/JarvanIV.png,Jarvan IV,4,1000,60,60,https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png,0.65,https://cdn.lolchess.gg/upload/images/champion-skills/JarvanIV_1684810421-jarvaniv_cataclysm.png,100/180,"['Demacia', 'Strategist']"
9.5,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/champion/Jayce.png,Jayce,3,700,25,60,https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance304.png,0.75,https://cdn.lolchess.gg/upload/images/champion-skills/Jayce_1684810615-jayce_shotblast.png,30/100,"['Piltover', 'Gunner']"
