set,icon,name,cost,health,armor,ad,attack_range,as,skill_icon,mana,traits
1.0,https://ddragon.leagueoflegends.com/cdn/11.15.1/img/champion/Aatrox.png,Aatrox,3,700,35,65,https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png,0.65,https://cdn.lolchess.gg/images/tft/champion-skills/aatrox_thedarkinblade.png,0/75,"['Demon', 'Blademaster']"
1.0,https://ddragon.leagueoflegends.com/cdn/11.15.1/img/champion/Ahri.png,Ahri,2,450,20,50,https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance303.png,0.55,https://cdn.lolchess.gg/images/tft/champion-skills/ahri_orbofdeception.png,0/75,"['Wild', 'Sorcerer']"
1.0,https://ddragon.leagueoflegends.com/cdn/11.15.1/img/champion/Akali.png,Akali,4,650,20,80,https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png,0.8,https://cdn.lolchess.gg/images/tft/champion-skills/akali_fivepointstrike.png,0/25,"['Ninja', 'Assassin']"
1.0,https://ddragon.leagueoflegends.com/cdn/11.15.1/img/champion/Anivia.png,Anivia,5,750,20,40,https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance303.png,0.8,https://cdn.lolchess.gg/images/tft/champion-skills/anivia_glacialstorm.png,50/125,"['Glacial', 'Elementalist']"
1.0,https://ddragon.leagueoflegends.com/cdn/11.15.1/img/champion/Ashe.png,Ashe,3,550,20,65,https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance304.png,0.7,https://cdn.lolchess.gg/images/tft/champion-skills/ashe_enchantedcrystalarrow.png,0/125,"['Glacial', 'Ranger']"
1.0,https://ddragon.leagueoflegends.com/cdn/11.15.1/img/champion/AurelionSol.png,Aurelion Sol,4,650,20,40,https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance303.png,0.6,https://cdn.lolchess.gg/images/tft/champion-skills/aurelionsol_voiceoflight.png,0/125,"['Dragon', 'Sorcerer']"
1.0,https://ddragon.leagueoflegends.com/cdn/11.15.1/img/champion/Blitzcrank.png,Blitzcrank,2,650,35,50,https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png,0.5,https://cdn.lolchess.gg/images/tft/champion-skills/blitzcrank_rocketgrab.png,0/125,"['Robot', 'Brawler']"
1.0,https://ddragon.leagueoflegends.com/cdn/11.15.1/img/champion/Brand.png,Brand,4,700,25,60,https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance303.png,0.6,https://cdn.lolchess.gg/images/tft/champion-skills/brand_pyroclasm.png,50/150,"['Demon', 'Elementalist']"
1.0,https://ddragon.leagueoflegends.com/cdn/11.15.1/img/champion/Braum.png,Braum,2,650,75,40,https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png,0.6,https://cdn.lolchess.gg/images/tft/champion-skills/braum_unbreakable.png,0/75,"['Glacial', 'Guardian']"
1.0,https://ddragon.leagueoflegends.com/cdn/11.15.1/img/champion/Camille.png,Camille,1,550,30,55,https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png,0.6,https://cdn.lolchess.gg/images/tft/champion-skills/camille_thehextechultimatum.png,75/125,"['Hextech', 'Blademaster']"
1.0,https://ddragon.leagueoflegends.com/cdn/11.15.1/img/champion/Chogath.png,Cho'Gath,4,1000,20,70,https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png,0.6,https://cdn.lolchess.gg/images/tft/champion-skills/chogath_rupture.png,50/150,"['Void', 'Brawler']"
1.0,https://ddragon.leagueoflegends.com/cdn/11.15.1/img/champion/Darius.png,Darius,1,600,40,50,https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png,0.5,https://cdn.lolchess.gg/images/tft/champion-skills/darius_decimate.png,0/100,"['Imperial', 'Knight']"
1.0,https://ddragon.leagueoflegends.com/cdn/11.15.1/img/champion/Draven.png,Draven,4,650,25,65,https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance303.png,0.75,https://cdn.lolchess.gg/images/tft/champion-skills/draven_spinningaxes.png,0/50,"['Imperial', 'Blademaster']"
1.0,https://ddragon.leagueoflegends.com/cdn/11.15.1/img/champion/Elise.png,Elise,1,500,20,45,https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance302.png,0.6,https://cdn.lolchess.gg/images/tft/champion-skills/elise_spiderform.png,0/100,"['Demon', 'Shapeshifter']"
1.0,https://ddragon.leagueoflegends.com/cdn/11.15.1/img/champion/Evelynn.png,Evelynn,3,550,20,70,https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png,0.6,https://cdn.lolchess.gg/images/tft/champion-skills/evelynn_lastcaress.png,0/75,"['Demon', 'Assassin']"
1.0,https://ddragon.leagueoflegends.com/cdn/11.15.1/img/champion/Fiora.png,Fiora,1,450,25,40,https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png,1.0,https://cdn.lolchess.gg/images/tft/champion-skills/fiora_reposte.png,0/75,"['Noble', 'Blademaster']"
1.0,https://ddragon.leagueoflegends.com/cdn/11.15.1/img/champion/Gangplank.png,Gangplank,3,700,20,60,https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png,0.65,https://cdn.lolchess.gg/images/tft/champion-skills/gangplank_powderkegs.png,0/100,"['Pirate', 'Blademaster']"
1.0,https://ddragon.leagueoflegends.com/cdn/11.15.1/img/champion/Garen.png,Garen,1,600,40,50,https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png,0.6,https://cdn.lolchess.gg/images/tft/champion-skills/garen_judgement.png,0/100,"['Noble', 'Knight']"
1.0,https://ddragon.leagueoflegends.com/cdn/11.15.1/img/champion/Gnar.png,Gnar,4,700,30,50,https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance302.png,0.7,https://cdn.lolchess.gg/images/tft/champion-skills/gnar_gnar2.png,0/100,"['Yordle', 'Shapeshifter']"
1.0,https://ddragon.leagueoflegends.com/cdn/11.15.1/img/champion/Graves.png,Graves,1,450,30,55,https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png,0.55,https://cdn.lolchess.gg/images/tft/champion-skills/graves_buckshot.png,-,"['Pirate', 'Gunslinger']"
1.0,https://ddragon.leagueoflegends.com/cdn/11.15.1/img/champion/Jayce.png,Jayce,2,600,35,60,https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png,0.65,https://cdn.lolchess.gg/images/tft/champion-skills/jayce_meercurycannon.png,50/100,"['Hextech', 'Shapeshifter']"
1.0,https://ddragon.leagueoflegends.com/cdn/11.15.1/img/champion/Jinx.png,Jinx,4,550,20,75,https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance303.png,0.7,https://cdn.lolchess.gg/images/tft/champion-skills/jinx_getexcited.png,-,"['Hextech', 'Gunslinger']"
