"set","icon","name","cost","origin","class","health","armor","ad","attack_range","as","skill_icon","mana"
"https://lolchess.gg/champions/set3/ahri","https://cdn.lolchess.gg/images/tft/champions/set3/ahri.png","Ahri","2","Star Guardian","Sorcerer","600","20","45","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance303.png","0.75","https://cdn.lolchess.gg/images/tft/champion-skills/ahri_orbofdeception.png","0/60"
"https://lolchess.gg/champions/set3/annie","https://cdn.lolchess.gg/images/tft/champions/set3/annie.png","Annie","2","Mech-Pilot","Sorcerer","700","40","40","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance302.png","0.65","https://cdn.lolchess.gg/images/tft/champion-skills/annie_galaxyshieldblast.png","75/150"
"https://lolchess.gg/champions/set3/ashe","https://cdn.lolchess.gg/images/tft/champions/set3/ashe.png","Ashe","3","Celestial","Sniper","600","20","60","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance305.png","0.80","https://cdn.lolchess.gg/images/tft/champion-skills/ashe_enchantedcrystalarrow.png","50/125"
"https://lolchess.gg/champions/set3/aurelionsol","https://cdn.lolchess.gg/images/tft/champions/set3/aurelionsol.png","Aurelion Sol","5","Rebel","Starship","1100","35","10","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png","0.80","https://cdn.lolchess.gg/images/tft/champion-skills/aurelionsol_mobilizethefleet.png","40/120"
"https://lolchess.gg/champions/set3/blitzcrank","https://cdn.lolchess.gg/images/tft/champions/set3/blitzcrank.png","Blitzcrank","2","Chrono","Brawler","650","35","55","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png","0.50","https://cdn.lolchess.gg/images/tft/champion-skills/blitzcrank_rocketgrab.png","125/125"
"https://lolchess.gg/champions/set3/caitlyn","https://cdn.lolchess.gg/images/tft/champions/set3/caitlyn.png","Caitlyn","1","Chrono","Sniper","500","20","45","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance305.png","0.75","https://cdn.lolchess.gg/images/tft/champion-skills/caitlyn_aceinthehole.png","0/125"
"https://lolchess.gg/champions/set3/chogath","https://ddragon.leagueoflegends.com/cdn/10.22.1/img/champion/Chogath.png","Cho'Gath","4","Void","Brawler","1000","20","70","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png","0.60","https://cdn.lolchess.gg/images/tft/champion-skills/chogath_rupture.png","75/150"
"https://lolchess.gg/champions/set3/darius","https://cdn.lolchess.gg/images/tft/champions/set3/darius.png","Darius","2","Space Pirate","Mana-Reaver","750","35","60","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png","0.65","https://cdn.lolchess.gg/images/tft/champion-skills/darius_spacepirateguillotine.png","0/60"
"https://lolchess.gg/champions/set3/ekko","https://cdn.lolchess.gg/images/tft/champions/set3/ekko.png","Ekko","5","Cybernetic","Infiltrator","850","30","60","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png","0.90","https://cdn.lolchess.gg/images/tft/champion-skills/ekko_chronobreak.png","50/150"
"https://lolchess.gg/champions/set3/ezreal","https://cdn.lolchess.gg/images/tft/champions/set3/ezreal.png","Ezreal","3","Chrono","Blaster","600","20","60","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance303.png","0.70","https://cdn.lolchess.gg/images/tft/champion-skills/ezreal_emp.png","50/125"
"https://lolchess.gg/champions/set3/fiora","https://cdn.lolchess.gg/images/tft/champions/set3/fiora.png","Fiora","1","Cybernetic","Blademaster","450","30","45","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png","1.00","https://cdn.lolchess.gg/images/tft/champion-skills/fiora_reposte.png","0/85"
"https://lolchess.gg/champions/set3/fizz","https://cdn.lolchess.gg/images/tft/champions/set3/fizz.png","Fizz","4","Mech-Pilot","Infiltrator","600","25","60","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png","0.80","https://cdn.lolchess.gg/images/tft/champion-skills/fizz_chumthewaters.png","80/150"
"https://lolchess.gg/champions/set3/gangplank","https://cdn.lolchess.gg/images/tft/champions/set3/gangplank.png","Gangplank","5","Space Pirate","Demolitionist","1000","30","60","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png","1.00","https://cdn.lolchess.gg/images/tft/champion-skills/gangplank_orbitalstrike.png","100/175"
"https://lolchess.gg/champions/set3/graves","https://cdn.lolchess.gg/images/tft/champions/set3/graves.png","Graves","1","Space Pirate","Blaster","650","35","55","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png","0.55","https://cdn.lolchess.gg/images/tft/champion-skills/graves_smokegrenade.png","50/80"
"https://lolchess.gg/champions/set3/irelia","https://cdn.lolchess.gg/images/tft/champions/set3/irelia.png","Irelia","4","Cybernetic","Blademaster","800","35","70","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png","0.85","https://cdn.lolchess.gg/images/tft/champion-skills/irelia_bladesurge.png","0/30"
"https://lolchess.gg/champions/set3/jarvaniv","https://cdn.lolchess.gg/images/tft/champions/set3/jarvaniv.png","Jarvan IV","1","Dark Star","Protector","650","40","50","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png","0.60","https://cdn.lolchess.gg/images/tft/champion-skills/jarvaniv_agelessstandard.png","50/100"
"https://lolchess.gg/champions/set3/jayce","https://cdn.lolchess.gg/images/tft/champions/set3/jayce.png","Jayce","3","Space Pirate","Vanguard","750","40","60","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png","0.70","https://cdn.lolchess.gg/images/tft/champion-skills/jayce_totheskies.png","0/80"
"https://lolchess.gg/champions/set3/jhin","https://cdn.lolchess.gg/images/tft/champions/set3/jhin.png","Jhin","4","Dark Star","Sniper","600","20","90","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance305.png","0.90","https://cdn.lolchess.gg/images/tft/champion-skills/jhin_whisper.png","-"
