"set","icon","name","cost","origin","class","health","armor","ad","attack_range","as","skill_icon","mana"
"https://lolchess.gg/champions/set5.5/aatrox","https://cdn.lolchess.gg/upload/images/champions/Aatrox_1657240838.png","Aatrox","1","Redeemed","Legionnaire","650","35","60","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png","0.65","https://cdn.lolchess.gg/upload/images/champion-skills/Aatrox_1657243675.png","30/100"
"https://lolchess.gg/champions/set5.5/akshan","https://cdn.lolchess.gg/upload/images/champions/Akshan_1657240386.png","Akshan","5","Sentinel","Ranger","800","35","80","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance303.png","1.00","https://cdn.lolchess.gg/upload/images/champion-skills/Akshan_1657243603.png","60/120"
"https://lolchess.gg/champions/set5.5/aphelios","https://cdn.lolchess.gg/upload/images/champions/Aphelios_1657240843.png","Aphelios","4","Nightbringer","Ranger","650","25","65","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance304.png","0.85","https://cdn.lolchess.gg/upload/images/champion-skills/Aphelios_1657244349.png","0/170"
"https://lolchess.gg/champions/set5.5/ashe","https://cdn.lolchess.gg/upload/images/champions/Ashe_1657240849.png","Ashe","3","Draconic","Ranger","600","20","70","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance305.png","0.75","https://cdn.lolchess.gg/upload/images/champion-skills/Ashe_1657244357.png","50/100"
"https://lolchess.gg/champions/set5.5/brand","https://cdn.lolchess.gg/upload/images/champions/Brand_1657240784.png","Brand","2","Abomination","Spellweaver","600","20","45","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance303.png","0.65","https://cdn.lolchess.gg/upload/images/champion-skills/Brand_1657244214.png","0/20"
"https://lolchess.gg/champions/set5.5/diana","https://cdn.lolchess.gg/upload/images/champions/Diana_1657240450.png","Diana","4","Nightbringer","Assassin","750","40","75","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png","0.70","https://cdn.lolchess.gg/upload/images/champion-skills/Diana_1657243999.png","70/140"
"https://lolchess.gg/champions/set5.5/draven","https://cdn.lolchess.gg/upload/images/champions/Draven_1657240487.png","Draven","4","Forgotten","Legionnaire","700","30","85","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance303.png","0.80","https://cdn.lolchess.gg/upload/images/champion-skills/Draven_1657244046.png","0/40"
"https://lolchess.gg/champions/set5.5/fiddlesticks","https://ddragon.leagueoflegends.com/cdn/11.15.1/img/champion/Fiddlesticks.png","Fiddlesticks","4","Abomination","Mystic","800","40","60","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance302.png","0.75","https://cdn.lolchess.gg/upload/images/champion-skills/Fiddlesticks_1657244499.png","60/120"
"https://lolchess.gg/champions/set5.5/galio","https://cdn.lolchess.gg/upload/images/champions/Galio_1657240337.png","Galio","4","Draconic","Knight","1000","60","70","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png","0.60","https://cdn.lolchess.gg/upload/images/champion-skills/Galio_1657243923.png","120/180"
"https://lolchess.gg/champions/set5.5/garen","https://cdn.lolchess.gg/upload/images/champions/Garen_1657240308.png","Garen","5","Dawnbringer","Knight","1050","60","80","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png","0.75","https://cdn.lolchess.gg/upload/images/champion-skills/Garen_1657243907.png","80/160"
