"set","icon","name","cost","origin","class","health","armor","ad","attack_range","as","skill_icon","mana","class_extra"
"https://lolchess.gg/champions/set5/aatrox","https://cdn.lolchess.gg/upload/images/champions/Aatrox_1657238385.png","Aatrox","1","Redeemed","Legionnaire","650","30","60","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png","0.65","https://cdn.lolchess.gg/upload/images/champion-skills/Aatrox_1657245217.png","0/70",""
"https://lolchess.gg/champions/set5/aphelios","https://cdn.lolchess.gg/upload/images/champions/Aphelios_1657238453.png","Aphelios","4","Nightbringer","Ranger","650","25","75","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance304.png","0.85","https://cdn.lolchess.gg/upload/images/champion-skills/Aphelios_1657245226.png","0/90",""
"https://lolchess.gg/champions/set5/ashe","https://cdn.lolchess.gg/upload/images/champions/Ashe_1657238461.png","Ashe","3","Draconic","Ranger","550","20","65","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance305.png","0.75","https://cdn.lolchess.gg/upload/images/champion-skills/Ashe_1657245234.png","50/90","Verdant"
"https://lolchess.gg/champions/set5/brand","https://cdn.lolchess.gg/upload/images/champions/Brand_1657238470.png","Brand","2","Abomination","Spellweaver","600","20","45","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance303.png","0.65","https://cdn.lolchess.gg/upload/images/champion-skills/Brand_1657245031.png","0/20",""
"https://lolchess.gg/champions/set5/darius","https://cdn.lolchess.gg/upload/images/champions/Darius_1657238480.png","Darius","5","Nightbringer","God-King","1050","60","90","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png","0.75","https://cdn.lolchess.gg/upload/images/champion-skills/Darius_1657244754.png","40/100","Knight"
"https://lolchess.gg/champions/set5/diana","https://cdn.lolchess.gg/upload/images/champions/Diana_1657238490.png","Diana","4","Dragonslayer","Assassin","650","40","55","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png","0.65","https://cdn.lolchess.gg/upload/images/champion-skills/Diana_1657244765.png","80/160","Nightbringer"
"https://lolchess.gg/champions/set5/draven","https://cdn.lolchess.gg/upload/images/champions/Draven_1657238496.png","Draven","4","Forgotten","Legionnaire","700","30","90","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance303.png","0.75","https://cdn.lolchess.gg/upload/images/champion-skills/Draven_1657244784.png","0/40",""
"https://lolchess.gg/champions/set5/garen","https://cdn.lolchess.gg/upload/images/champions/Garen_1657238503.png","Garen","5","Dawnbringer","God-King","1050","60","80","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png","0.75","https://cdn.lolchess.gg/upload/images/champion-skills/Garen_1657244671.png","40/100","Knight"
"https://lolchess.gg/champions/set5/gragas","https://cdn.lolchess.gg/upload/images/champions/Gragas_1657238527.png","Gragas","1","Dawnbringer","Brawler","750","40","50","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png","0.50","https://cdn.lolchess.gg/upload/images/champion-skills/Gragas_1657244684.png","40/70",""
"https://lolchess.gg/champions/set5/hecarim","https://ddragon.leagueoflegends.com/cdn/14.21.1/img/champion/Hecarim.png","Hecarim","2","Forgotten","Cavalier","750","45","55","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png","0.55","https://cdn.lolchess.gg/upload/images/champion-skills/Hecarim_1657245493.png","40/90",""
"https://lolchess.gg/champions/set5/heimerdinger","https://cdn.lolchess.gg/upload/images/champions/Heimerdinger_1657238535.png","Heimerdinger","5","Draconic","Caretaker","800","30","45","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance304.png","0.75","https://cdn.lolchess.gg/upload/images/champion-skills/Heimerdinger_1657245483.png","0/140","Renewer"
"https://lolchess.gg/champions/set5/ivern","https://cdn.lolchess.gg/upload/images/champions/Ivern_1657238550.png","Ivern","4","Revenant","Invoker","950","50","40","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance302.png","0.75","https://cdn.lolchess.gg/upload/images/champion-skills/Ivern_1657245209.png","100/180","Renewer"
