"set","icon","name","cost","origin","class","health","armor","ad","attack_range","as","skill_icon","mana","class_extra"
"https://lolchess.gg/champions/set7.5/aoshin","https://cdn.lolchess.gg/upload/images/champions/AoShin_1653029477.png","Ao Shin","8","Tempest","Dragon","800","35","60","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance304.png","0.80","https://cdn.lolchess.gg/upload/images/champion-skills/AoShin_1653543247.png","0/190",""
"https://lolchess.gg/champions/set7.5/aphelios","https://cdn.lolchess.gg/upload/images/champions/Aphelios_1661160970-Aphelios.jpg","Aphelios","2","Darkflight","Cannoneer","500","20","60","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance304.png","0.70","https://cdn.lolchess.gg/upload/images/champion-skills/Aphelios_1660872138-infernum_m.png","80/175",""
"https://lolchess.gg/champions/set7.5/aurelionsol","https://cdn.lolchess.gg/upload/images/champions/AurelionSol_1653030178.png","Aurelion Sol","8","Astral","Dragon","800","35","60","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance304.png","0.75","https://cdn.lolchess.gg/upload/images/champion-skills/AurelionSol_1652942614.png","0/60","Evoker"
"https://lolchess.gg/champions/set7.5/bard","https://cdn.lolchess.gg/upload/images/champions/Bard_1653029776.png","Bard","5","Guild","Bard","850","40","60","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance304.png","0.70","https://ddragon.leagueoflegends.com/cdn/12.13.1/img/spell/BardR.png","160/240","Mystic"
"https://lolchess.gg/champions/set7.5/braum","https://cdn.lolchess.gg/upload/images/champions/Braum_1653029795.png","Braum","2","Scalescorn","Guardian","800","60","85","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png","0.60","https://ddragon.leagueoflegends.com/cdn/12.13.1/img/spell/BraumE.png","30/60",""
"https://lolchess.gg/champions/set7.5/daeja","https://cdn.lolchess.gg/upload/images/champions/Daeja_1653027743.png","Daeja","7","Mirage","Dragon","800","40","20","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance304.png","0.60","https://cdn.lolchess.gg/upload/images/champion-skills/Daeja_1653184042.png","0/100",""
"https://lolchess.gg/champions/set7.5/diana","https://cdn.lolchess.gg/upload/images/champions/Diana_1653029713.png","Diana","3","Scalescorn","Assassin","700","35","55","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png","0.75","https://ddragon.leagueoflegends.com/cdn/12.13.1/img/spell/DianaOrbs.png","30/90",""
"https://lolchess.gg/champions/set7.5/ezreal","https://cdn.lolchess.gg/upload/images/champions/Ezreal_1653030256.png","Ezreal","1","Tempest","Swiftshot","500","15","35","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance303.png","0.70","https://ddragon.leagueoflegends.com/cdn/12.13.1/img/spell/EzrealQ.png","0/40",""
"https://lolchess.gg/champions/set7.5/gnar","https://cdn.lolchess.gg/upload/images/champions/Gnar_1653029639.png","Gnar","2","Jade","Shapeshifter","750","40","50","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance302.png","0.70","https://ddragon.leagueoflegends.com/cdn/12.13.1/img/passive/Gnar_Passive.png","0/70",""
"https://lolchess.gg/champions/set7.5/graves","https://cdn.lolchess.gg/upload/images/champions/Graves_1661160979-Graves.jpg","Graves","4","Tempest","Cannoneer","800","30","65","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance303.png","0.65","https://cdn.lolchess.gg/upload/images/champion-skills/Graves_1660815971-gravesquickdraw.png","0/40",""
"https://lolchess.gg/champions/set7.5/hecarim","https://cdn.lolchess.gg/upload/images/champions/Hecarim_1653030476.png","Hecarim","4","Ragewing","Cavalier","1000","60","60","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png","0.75","https://ddragon.leagueoflegends.com/cdn/12.13.1/img/spell/HecarimUlt.png","30/90",""
