"set","icon","name","cost","origin","health","armor","ad","attack_range","as","skill_icon","mana","class","class_extra"
"https://lolchess.gg/champions/set8.5/aatrox","https://cdn.lolchess.gg/upload/images/champions/Aatrox_1677905239-Aatrox.png","Aatrox","4","Threat","1100","60","60","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png","0.80","https://cdn.lolchess.gg/upload/images/champion-skills/Aatrox_1677723713-aatrox_r.png","0/90","",""
"https://lolchess.gg/champions/set8.5/alistar","https://cdn.lolchess.gg/upload/images/champions/Alistar_1668168617-Alistar.jpg","Alistar","3","Ox Force","1250","50","50","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png","0.55","https://cdn.lolchess.gg/upload/images/champion-skills/Alistar_1668150891-alistar_q.png","75/175","Aegis","Mascot"
"https://lolchess.gg/champions/set8.5/annie","https://cdn.lolchess.gg/upload/images/champions/Annie_1668168621-Annie.jpg","Annie","2","Gadgeteen","750","40","40","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance302.png","0.60","https://cdn.lolchess.gg/upload/images/champion-skills/Annie_1668150240-annie_q.png","30/90","Spellslinger","Ox Force"
"https://lolchess.gg/champions/set8.5/ashe","https://cdn.lolchess.gg/upload/images/champions/Ashe_1668168626-Ashe.jpg","Ashe","1","LaserCorps","500","15","60","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance304.png","0.70","https://cdn.lolchess.gg/upload/images/champion-skills/Ashe_1668149609-ashe_q.png","0/50","Sureshot",""
"https://lolchess.gg/champions/set8.5/aurelionsol","https://cdn.lolchess.gg/upload/images/champions/AurelionSol_1668168606-AurelionSol.jpg","Aurelion Sol","4","Threat","850","30","40","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance304.png","0.70","https://cdn.lolchess.gg/upload/images/champion-skills/AurelionSol_1668153769-brandpillarofflame.png","30/90","",""
"https://lolchess.gg/champions/set8.5/belveth","https://cdn.lolchess.gg/upload/images/champions/Belveth_1668168473-BelVeth.jpg","BelVeth","4","Threat","1050","50","80","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance302.png","0.90","https://cdn.lolchess.gg/upload/images/champion-skills/Belveth_1668150342-belveth_passive.belveth.png","0/40","",""
"https://lolchess.gg/champions/set8.5/blitzcrank","https://cdn.lolchess.gg/upload/images/champions/Blitzcrank_1668168485-Blitzcrank.jpg","Blitzcrank","1","A.D.M.I.N.","650","45","50","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png","0.50","https://cdn.lolchess.gg/upload/images/champion-skills/Blitzcrank_1668148964-blitzcrank_manabarrier.png","45/90","Brawler",""
"https://lolchess.gg/champions/set8.5/camille","https://cdn.lolchess.gg/upload/images/champions/Camille_1668168802-Camille.jpg","Camille","2","A.D.M.I.N.","750","45","65","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png","0.75","https://cdn.lolchess.gg/upload/images/champion-skills/Camille_1668150383-camille_e2.png","0/70","Renegade",""
"https://lolchess.gg/champions/set8.5/draven","https://cdn.lolchess.gg/upload/images/champions/Draven_1668167910-Draven.jpg","Draven","2","Mecha: PRIME","600","15","65","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance304.png","0.75","https://cdn.lolchess.gg/upload/images/champion-skills/Draven_1668149896-draven_whirlingdeath.png","70/130","Ace",""
"https://lolchess.gg/champions/set8.5/ekko","https://cdn.lolchess.gg/upload/images/champions/Ekko_1668168638-Ekko.jpg","Ekko","4","Star Guardian","1000","60","60","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png","0.60","https://cdn.lolchess.gg/upload/images/champion-skills/Ekko_1668150223-ekko_e.png","70/140","Aegis","Prankster"
"https://lolchess.gg/champions/set8.5/ezreal","https://cdn.lolchess.gg/upload/images/champions/Ezreal_1668168667-Ezreal.jpg","Ezreal","2","Underground","550","20","55","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance304.png","0.70","https://cdn.lolchess.gg/upload/images/champion-skills/Ezreal_1668150313-ezreal_w.png","0/55","Parallel","Quickdraw"
"https://lolchess.gg/champions/set8.5/fiddlesticks","https://cdn.lolchess.gg/upload/images/champions/Fiddlesticks_1668168825-Fiddlesticks.jpg","Fiddlesticks","5","Threat","1200","66","50","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png","0.75","https://cdn.lolchess.gg/upload/images/champion-skills/Fiddlesticks_1668150190-darkharvest.png","66/66","Corrupted",""
"https://lolchess.gg/champions/set8.5/fiora","https://cdn.lolchess.gg/upload/images/champions/Fiora_1668168836-Fiora.jpg","Fiora","2","Ox Force","800","50","50","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png","0.80","https://cdn.lolchess.gg/upload/images/champion-skills/Fiora_1668150450-fiora_w.png","30/80","Duelist",""
"https://lolchess.gg/champions/set8.5/gangplank","https://cdn.lolchess.gg/upload/images/champions/Gangplank_1668167844-Gangplank.jpg","Gangplank","1","Supers","650","35","45","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png","0.75","https://cdn.lolchess.gg/upload/images/champion-skills/Gangplank_1669345795-gangplank_q.png","0/50","Duelist",""
"https://lolchess.gg/champions/set8.5/garen","https://cdn.lolchess.gg/upload/images/champions/Garen_1677905245-Garen.png","Garen","4","Mecha: PRIME","1050","60","80","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png","0.60","https://cdn.lolchess.gg/upload/images/champion-skills/Garen_1677574971-garen_r.png","100/200","Defender",""
"https://lolchess.gg/champions/set8.5/gnar","https://cdn.lolchess.gg/upload/images/champions/Gnar_1677905251-Gnar.png","Gnar","3","Gadgeteen","800","35","60","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png","0.80","https://cdn.lolchess.gg/upload/images/champion-skills/Gnar_1677575493-gnarbig_r.png","20/80","Prankster",""
"https://lolchess.gg/champions/set8.5/janna","https://cdn.lolchess.gg/upload/images/champions/Janna_1668168692-Janna.jpg","Janna","5","","800","45","50","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance304.png","0.80","https://cdn.lolchess.gg/upload/images/champion-skills/Janna_1668150178-janna_reapthewhirlwind.png","40/120","Forecaster","Spellslinger"
"https://lolchess.gg/champions/set8.5/jax","https://cdn.lolchess.gg/upload/images/champions/Jax_1668168698-Jax.jpg","Jax","3","Mecha: PRIME","800","45","45","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png","0.80","https://cdn.lolchess.gg/upload/images/champion-skills/Jax_1677733683-armsmaster_relentlessassault.png","-","Brawler",""
