"set","icon","name","cost","origin","class","class_extra","health","armor","ad","attack_range","as","skill_icon","mana"
"https://lolchess.gg/champions/set8/alistar","https://cdn.lolchess.gg/upload/images/champions/Alistar_1668168617-Alistar.jpg","Alistar","3","Ox Force","Aegis","Mascot","800","50","50","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png","0.55","https://cdn.lolchess.gg/upload/images/champion-skills/Alistar_1668150891-alistar_q.png","75/175"
"https://lolchess.gg/champions/set8/annie","https://cdn.lolchess.gg/upload/images/champions/Annie_1668168621-Annie.jpg","Annie","2","Gadgeteen","Spellslinger","Ox Force","750","40","40","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance302.png","0.60","https://cdn.lolchess.gg/upload/images/champion-skills/Annie_1668150240-annie_q.png","30/90"
"https://lolchess.gg/champions/set8/aphelios","https://cdn.lolchess.gg/upload/images/champions/Aphelios_1668168612-Aphelios.jpg","Aphelios","5","Arsenal","Sureshot","Ox Force","800","30","80","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance304.png","0.90","https://cdn.lolchess.gg/upload/images/champion-skills/Aphelios_1669280391-apheliosr.png","40/140"
"https://lolchess.gg/champions/set8/ashe","https://cdn.lolchess.gg/upload/images/champions/Ashe_1668168626-Ashe.jpg","Ashe","1","LaserCorps","Recon","","500","15","60","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance304.png","0.70","https://cdn.lolchess.gg/upload/images/champion-skills/Ashe_1668149609-ashe_q.png","0/50"
"https://lolchess.gg/champions/set8/aurelionsol","https://cdn.lolchess.gg/upload/images/champions/AurelionSol_1668168606-AurelionSol.jpg","Aurelion Sol","4","Threat","","","850","30","40","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance304.png","0.75","https://cdn.lolchess.gg/upload/images/champion-skills/AurelionSol_1668153769-brandpillarofflame.png","0/90"
"https://lolchess.gg/champions/set8/belveth","https://cdn.lolchess.gg/upload/images/champions/Belveth_1668168473-BelVeth.jpg","BelVeth","4","Threat","","","1000","50","75","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance302.png","0.90","https://cdn.lolchess.gg/upload/images/champion-skills/Belveth_1668150342-belveth_passive.belveth.png","0/30"
"https://lolchess.gg/champions/set8/blitzcrank","https://cdn.lolchess.gg/upload/images/champions/Blitzcrank_1668168485-Blitzcrank.jpg","Blitzcrank","1","A.D.M.I.N.","Brawler","","650","45","65","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png","0.50","https://cdn.lolchess.gg/upload/images/champion-skills/Blitzcrank_1668148964-blitzcrank_manabarrier.png","40/80"
"https://lolchess.gg/champions/set8/camille","https://cdn.lolchess.gg/upload/images/champions/Camille_1668168802-Camille.jpg","Camille","2","A.D.M.I.N.","Renegade","","750","45","75","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png","0.75","https://cdn.lolchess.gg/upload/images/champion-skills/Camille_1668150383-camille_e2.png","0/70"
"https://lolchess.gg/champions/set8/chogath","https://cdn.lolchess.gg/upload/images/champions/Chogath_1668168795-Chogath.jpg","Cho'Gath","3","Threat","","","950","55","60","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png","0.60","https://cdn.lolchess.gg/upload/images/champion-skills/Chogath_1668150977-greenterror_feralscream.png","40/120"
"https://lolchess.gg/champions/set8/draven","https://cdn.lolchess.gg/upload/images/champions/Draven_1668167910-Draven.jpg","Draven","2","Mecha: PRIME","Ace","","600","15","60","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance304.png","0.75","https://cdn.lolchess.gg/upload/images/champion-skills/Draven_1668149896-draven_whirlingdeath.png","0/80"
